81.93.42.152 - - [07/Jul/2024:00:06:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:22 +0900] "GET /recruit-app/assets/images/company/logo/comp_0009_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:27 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 20876
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:27 +0900] "GET /content/images/company/bg-header4.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:50 +0900] "GET /recruit-app/manage/recruits.do HTTP/1.1" 200 20897
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:50 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:50 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:50 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:50 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:50 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:50 +0900] "GET /recruit-app/api/manage/recruits.do?startNum=1&endNum=5 HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:50 +0900] "GET /recruit-app/api/manage/recruit/counts.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:52 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoList.do HTTP/1.1" 200 18306
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:52 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:52 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:52 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:52 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:52 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:53 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 14931
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:47:57 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0002 HTTP/1.1" 200 14917
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:48:00 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0003 HTTP/1.1" 200 14921
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:51:52 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoList.do HTTP/1.1" 200 18306
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:51:52 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:51:52 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:51:52 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:51:52 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:51:52 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:51:53 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15047
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:53:34 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15059
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:54:59 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15063
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:55:00 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15063
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:55:00 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15063
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:55:32 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15072
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:56:00 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15063
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:56:07 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15067
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:56:23 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15067
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:56:24 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15067
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:56:29 +0900] "GET /recruit-app/companyinfo/adminCompanyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 15059
127.0.0.1 - - [07/Jul/2024:00:58:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:00:58:51 +0900] "GET /spring_mvc/index.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jul/2024:01:00:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:01:00:25 +0900] "GET /spring_mvc/index.do HTTP/1.1" 200 6084
211.63.89.138 - - [07/Jul/2024:01:00:25 +0900] "GET /spring_mvc/common/css/board.css HTTP/1.1" 200 79038
211.63.89.138 - - [07/Jul/2024:01:00:25 +0900] "GET /spring_mvc/common/css/main.css HTTP/1.1" 200 15161
211.63.89.138 - - [07/Jul/2024:01:00:25 +0900] "GET /spring_mvc/common/favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [07/Jul/2024:01:00:38 +0900] "GET /spring_mvc/day0613/file_upload_frm.do HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [07/Jul/2024:01:00:52 +0900] "GET /spring_mvc/day0611/ajax.do HTTP/1.1" 200 2795
127.0.0.1 - - [07/Jul/2024:02:52:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:27 +0900] "GET /recruit-app/WEB-INF/views/companyinfo/user_company_detail.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:35 +0900] "GET /recruit-app/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:36 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 51540
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:36 +0900] "GET /recruit-app/main/global_user.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:36 +0900] "GET /recruit-app/assets/images/ads/1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:36 +0900] "GET /recruit-app/assets/images/ads/3.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:39 +0900] "GET /recruit-app/companyinfo/companyinfoList.do HTTP/1.1" 200 30301
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:41 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 22900
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:52:41 +0900] "GET /content/images/company/bg-header4.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:54:20 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24714
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:55:07 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24714
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:55:22 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:55:25 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:55:41 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24714
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:55:42 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24714
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:55:43 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24714
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:55:44 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24714
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:55:46 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24714
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:55:46 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24714
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:56:19 +0900] "GET /recruit-app/companyinfo/companyinfoList.do HTTP/1.1" 200 30301
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:56:20 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24714
45.148.10.251 - - [07/Jul/2024:02:56:37 +0900] "GET / HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:57:00 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:57:01 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:57:01 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:57:01 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:57:02 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:57:07 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:57:08 +0900] "GET /recruit-app/companyinfo/companyinfoList.do HTTP/1.1" 200 30301
0:0:0:0:0:0:0:1 - - [07/Jul/2024:02:57:13 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
34.78.85.104 - - [07/Jul/2024:02:59:49 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [07/Jul/2024:16:49:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:01 +0900] "GET /recruit-app/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/main/global_user.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 51560
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/105b10ca0c5005ca.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/d78e318892fb698f.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/abbebb70674a7a53.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/31749fc30b2cee78.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/c76e012c05e1318d.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/6c9e71f92bc24580.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/6b7b4649561ccba8.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/pretendardvariable-dynamic-subset.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/pretendardvariable-jp-dynamic-subset.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/ads/3.webp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/ads/2.webp HTTP/1.1" 200 36590
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/company/comp_0004_img.png HTTP/1.1" 200 154176
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/company/comp_0007_img.png HTTP/1.1" 200 188470
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/company/comp_0010_img.png HTTP/1.1" 200 179818
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/company/comp_0002_img.png HTTP/1.1" 200 83405
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/company/comp_0008_img.png HTTP/1.1" 200 170346
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/company/comp_0001_img.png HTTP/1.1" 200 132850
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/company/comp_0009_img.png HTTP/1.1" 200 82197
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/company/comp_0003_img.png HTTP/1.1" 200 139822
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/images/company/comp_0005_img.png HTTP/1.1" 200 74134
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.87.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.91.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.90.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.88.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.89.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.82.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.84.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.86.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.83.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.81.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/PretendardVariable.subset.85.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:02 +0900] "GET /recruit-app/assets/css/main/ajax-loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/companyinfo/companyinfoList.do HTTP/1.1" 200 30301
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/css/company/company-info-list-6.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/css/layout/user/common-sv-202405271315.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/css/layout/user/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0001_logo.png HTTP/1.1" 200 5252
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0002_logo.png HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0003_logo.png HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0004_logo.png HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0005_logo.png HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0006_logo.png HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0007_logo.png HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0008_logo.png HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0009_logo.png HTTP/1.1" 200 3439
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:06 +0900] "GET /recruit-app/assets/images/company/logo/comp_0010_logo.png HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:09 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24685
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:09 +0900] "GET /recruit-app/assets/css/company/company-info-detail-3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:09 +0900] "GET /recruit-app/assets/css/company/company-info-detail-7.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:49:09 +0900] "GET /content/images/company/bg-header4.png HTTP/1.1" 404 856
141.98.83.197 - - [07/Jul/2024:16:50:43 +0900] "GET / HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:53:21 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0001 HTTP/1.1" 200 24601
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:53:32 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0002 HTTP/1.1" 200 25285
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:53:40 +0900] "GET /recruit-app/companyinfo/companyinfoDetail.do?companyCode=comp_0004 HTTP/1.1" 200 23668
185.224.128.43 - - [07/Jul/2024:16:54:18 +0900] "GET / HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:55:26 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 51560
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:55:26 +0900] "GET /recruit-app/main/global_user.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:55:33 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 51560
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:55:33 +0900] "GET /recruit-app/main/global_user.css HTTP/1.1" 404 847
127.0.0.1 - - [07/Jul/2024:16:55:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:55:58 +0900] "GET /recruit-app/main/global_user.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:55:58 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 51560
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:55:58 +0900] "GET /recruit-app/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jul/2024:16:55:58 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 51560
