4.156.21.72 - - [15/Jul/2024:00:14:56 +0900] "GET /actuator/health HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:28:25 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14603
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:28:39 +0900] "POST /recruit-app/user/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:28:39 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 65154
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:28:44 +0900] "GET /recruit-app/user/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:28:44 +0900] "GET /recruit-app/main/mainPage.do?jwtSignup=eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJkZGRkQGdtYWlsLmNvbSIsInVzZXJEYXRhIjp7InVzZXJJZCI6ImRkZGRAZ21haWwuY29tIiwibmFtZSI6Iu2Zjeq4uOuPmSIsInBob25lIjoiMDEwMjM0NTY3NzgiLCJ0ZWwiOiIwMjMzMzQ0NDQiLCJwYXNzd29yZCI6IlF3ZXJ0MTIzNCEifSwiZXhwIjoxNzIwOTcxNDgzfQ.xrKdJ2oDamKGuYMGRCC2-4Iaf8RhOqITYRtlJzAzcPw&name=%ED%99%8D%EA%B8%B8%EB%8F%99&userId=dddd%40gmail.com HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:28:44 +0900] "GET /recruit-app/main/main.do HTTP/1.1" 200 65505
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:29:06 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14603
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:29:23 +0900] "POST /recruit-app/user/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:29:23 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14801
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:29:42 +0900] "POST /recruit-app/user/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:29:42 +0900] "GET /recruit-app/user/loginPage.do HTTP/1.1" 200 14801
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:31:54 +0900] "GET /recruit-app/manage/companyinfo/adminCompanyinfoList.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:31:54 +0900] "GET /recruit-app/manage/adminLogin/adminLoginPage.do HTTP/1.1" 200 9737
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:32:33 +0900] "POST /recruit-app/manage/adminLogin/adminLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:32:33 +0900] "GET /recruit-app/manage/dashboard/dashboard.do HTTP/1.1" 200 19990
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET /recruit-app/manage/admin/admins.do HTTP/1.1" 200 32171
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET //recruit-app/assets/css/pagenation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET //recruit-app/assets/css/manage/order/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET //recruit-app/assets/css/manage/order/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET /recruit-app/api/manage/admins.do?startNum=1&endNum=10 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:21 +0900] "GET /recruit-app/api/manage/admin/counts.do?startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:34 +0900] "GET /recruit-app/api/manage/admins.do?keyword=&startNum=11&endNum=20 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:34 +0900] "GET /recruit-app/api/manage/admin/counts.do?keyword=&startNum=11&endNum=20 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:35 +0900] "GET /recruit-app/api/manage/admins.do?keyword=&startNum=1&endNum=10 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:35 +0900] "GET /recruit-app/api/manage/admin/counts.do?keyword=&startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:44 +0900] "GET /recruit-app/api/manage/admins.do?keyword=test&startNum=1&endNum=10 HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:33:44 +0900] "GET /recruit-app/api/manage/admin/counts.do?keyword=test&startNum=1&endNum=10 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:09 +0900] "GET /recruit-app/api/manage/admin/test2.do HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:17 +0900] "GET /recruit-app/manage/user/users.do HTTP/1.1" 200 21270
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:17 +0900] "GET /recruit-app/assets/js/admin/datepicker-ko.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:17 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:17 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:17 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:17 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:17 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:17 +0900] "GET /recruit-app/api/manage/users.do?startNum=1&endNum=10 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:17 +0900] "GET /recruit-app/api/manage/user/counts.do?startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:38 +0900] "GET /recruit-app/manage/dashboard/dashboard.do HTTP/1.1" 200 19990
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:39 +0900] "GET /recruit-app/manage/dashboard/dashboard.do HTTP/1.1" 200 19990
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:42 +0900] "GET /recruit-app/manage/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:42 +0900] "GET /recruit-app/manage/logoutProcess.do?authority=%7B%22user%22%3A%22Y%22%2C%22company%22%3A%22Y%22%2C%22recruit%22%3A%22Y%22%2C%22review%22%3A%22Y%22%2C%22qna%22%3A%22Y%22%2C%22notice%22%3A%22Y%22%7D&adminId=test&position=%EC%8A%88%ED%8D%BC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:42 +0900] "GET /recruit-app/manage/adminLogin/logoutProcess.do HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:34:44 +0900] "GET /recruit-app/manage/adminLogin/adminLoginPage.do HTTP/1.1" 200 9737
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:27 +0900] "POST /recruit-app/manage/adminLogin/adminLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:27 +0900] "GET /recruit-app/manage/dashboard/dashboard.do HTTP/1.1" 200 19990
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:50 +0900] "GET /recruit-app/manage/admin/admins.do HTTP/1.1" 200 32171
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:50 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:50 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:50 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:50 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:50 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:50 +0900] "GET /recruit-app/api/manage/admins.do?startNum=1&endNum=10 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:50 +0900] "GET /recruit-app/api/manage/admin/counts.do?startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:54 +0900] "GET /recruit-app/manage/admin/admins.do?code=list&page=1&category=1&keyword=test HTTP/1.1" 200 32184
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:54 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:54 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:54 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:54 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:54 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:54 +0900] "GET /recruit-app/api/manage/admins.do?startNum=1&endNum=10 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:54 +0900] "GET /recruit-app/api/manage/admin/counts.do?startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:57 +0900] "GET /recruit-app/api/manage/admins.do?keyword=test&startNum=1&endNum=10 HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:35:57 +0900] "GET /recruit-app/api/manage/admin/counts.do?keyword=test&startNum=1&endNum=10 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:38:49 +0900] "GET /recruit-app/api/manage/admin/test2.do HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:38:52 +0900] "GET /recruit-app/api/manage/admin/modifyAdmin.do?adminId=test2&modifyAdminId=test2&authority=%7B%22user%22%3A%22Y%22%2C%22company%22%3A%22N%22%2C%22recruit%22%3A%22N%22%2C%22review%22%3A%22Y%22%2C%22qna%22%3A%22Y%22%2C%22notice%22%3A%22N%22%7D HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:38:54 +0900] "GET /recruit-app/api/manage/admins.do?keyword=&startNum=1&endNum=10 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:38:54 +0900] "GET /recruit-app/api/manage/admin/counts.do?keyword=&startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:38:56 +0900] "GET /recruit-app/api/manage/admin/test2.do HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:39:00 +0900] "GET /recruit-app/api/manage/admin/modifyAdmin.do?adminId=test2&modifyAdminId=test2&authority=%7B%22user%22%3A%22Y%22%2C%22company%22%3A%22N%22%2C%22recruit%22%3A%22N%22%2C%22review%22%3A%22Y%22%2C%22qna%22%3A%22N%22%2C%22notice%22%3A%22N%22%7D HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:39:01 +0900] "GET /recruit-app/api/manage/admins.do?keyword=&startNum=1&endNum=10 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:39:01 +0900] "GET /recruit-app/api/manage/admin/counts.do?keyword=&startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:39:25 +0900] "GET /recruit-app/manage/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:39:25 +0900] "GET /recruit-app/manage/logoutProcess.do?authority=%7B%22user%22%3A%22Y%22%2C%22company%22%3A%22Y%22%2C%22recruit%22%3A%22Y%22%2C%22review%22%3A%22Y%22%2C%22qna%22%3A%22Y%22%2C%22notice%22%3A%22Y%22%7D&adminId=test&position=%EC%8A%88%ED%8D%BC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:39:25 +0900] "GET /recruit-app/manage/adminLogin/logoutProcess.do HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:39:26 +0900] "GET /recruit-app/manage/adminLogin/adminLoginPage.do HTTP/1.1" 200 9737
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:39:47 +0900] "POST /recruit-app/manage/adminLogin/adminLogin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:39:47 +0900] "GET /recruit-app/manage/dashboard/dashboard.do HTTP/1.1" 200 19990
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:13 +0900] "GET /recruit-app/manage/admin/admins.do HTTP/1.1" 200 32171
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:13 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:13 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:13 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:13 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:13 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:13 +0900] "GET /recruit-app/api/manage/admins.do?startNum=1&endNum=10 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:13 +0900] "GET /recruit-app/api/manage/admin/counts.do?startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:18 +0900] "GET /recruit-app/manage/admin/admins.do?code=list&page=1&category=1&keyword=test HTTP/1.1" 200 32184
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:18 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:18 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:18 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:18 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:18 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:18 +0900] "GET /recruit-app/api/manage/admins.do?startNum=1&endNum=10 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:18 +0900] "GET /recruit-app/api/manage/admin/counts.do?startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:20 +0900] "GET /recruit-app/api/manage/admins.do?keyword=test&startNum=1&endNum=10 HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:20 +0900] "GET /recruit-app/api/manage/admin/counts.do?keyword=test&startNum=1&endNum=10 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:24 +0900] "GET /recruit-app/api/manage/admin/test4.do HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:27 +0900] "GET /recruit-app/api/manage/admin/modifyAdmin.do?adminId=test4&modifyAdminId=test4&authority=%7B%22user%22%3A%22N%22%2C%22company%22%3A%22Y%22%2C%22recruit%22%3A%22Y%22%2C%22review%22%3A%22Y%22%2C%22qna%22%3A%22N%22%2C%22notice%22%3A%22N%22%7D HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:28 +0900] "GET /recruit-app/api/manage/admins.do?keyword=test&startNum=1&endNum=10 HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:28 +0900] "GET /recruit-app/api/manage/admin/counts.do?keyword=test&startNum=1&endNum=10 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:31 +0900] "GET /recruit-app/manage/user/users.do HTTP/1.1" 200 21270
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:31 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:31 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:31 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:31 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:31 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:31 +0900] "GET /recruit-app/api/manage/users.do?startNum=1&endNum=10 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:31 +0900] "GET /recruit-app/api/manage/user/counts.do?startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:38 +0900] "GET /recruit-app/api/manage/users.do?category=1&keyword=dddd&startNum=1&endNum=10 HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:38 +0900] "GET /recruit-app/api/manage/user/counts.do?category=1&keyword=dddd&startNum=1&endNum=10 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:43 +0900] "GET /recruit-app/api/manage/users.do?category=1&keyword=d&startNum=1&endNum=10 HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:43 +0900] "GET /recruit-app/api/manage/user/counts.do?category=1&keyword=d&startNum=1&endNum=10 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:55 +0900] "GET /recruit-app/api/manage/users.do?category=1&keyword=&signupDateStart=2024-07-01&signupDateEnd=2024-07-20&startNum=1&endNum=10 HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:40:55 +0900] "GET /recruit-app/api/manage/user/counts.do?category=1&keyword=&signupDateStart=2024-07-01&signupDateEnd=2024-07-20&startNum=1&endNum=10 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:07 +0900] "GET /recruit-app/api/manage/users.do?category=2&keyword=%EC%9D%B4%EB%AA%85%ED%99%94&signupDateStart=2024-07-01&signupDateEnd=2024-07-20&startNum=1&endNum=10 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:07 +0900] "GET /recruit-app/api/manage/user/counts.do?category=2&keyword=%EC%9D%B4%EB%AA%85%ED%99%94&signupDateStart=2024-07-01&signupDateEnd=2024-07-20&startNum=1&endNum=10 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:16 +0900] "POST /recruit-app/manage/userDetail.do HTTP/1.1" 200 13733
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:16 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:16 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:16 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:16 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:16 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:26 +0900] "GET /recruit-app/api/manage/users.do?category=2&keyword=&startNum=1&endNum=10 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:26 +0900] "GET /recruit-app/api/manage/user/counts.do?category=2&keyword=&startNum=1&endNum=10 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:29 +0900] "GET /recruit-app/api/manage/users.do?category=2&keyword=&startNum=11&endNum=20 HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:29 +0900] "GET /recruit-app/api/manage/user/counts.do?category=2&keyword=&startNum=11&endNum=20 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:33 +0900] "POST /recruit-app/manage/userDetail.do HTTP/1.1" 200 17730
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:33 +0900] "GET /css/button.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:33 +0900] "GET /css/basic.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:33 +0900] "GET /css/ionicons.css HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:33 +0900] "GET /css/reset.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:33 +0900] "GET /css/font-awesome.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [15/Jul/2024:00:41:42 +0900] "GET /recruit-app/manage/companyinfo/adminCompanyinfoList.do HTTP/1.1" 200 20232
